x,y,psi,kappa,v
4.7397,11.043,-2.1294,11.9403,2.5001
4.7387,11.0414,-2.1516,11.4378,2.5001
4.7376,11.0398,-2.1731,10.948,2.5001
4.7365,11.0383,-2.194,10.4723,2.5001
4.7354,11.0367,-2.2143,10.0115,2.5001
4.7341,11.0352,-2.234,9.5664,2.5001
4.7329,11.0336,-2.2531,9.1374,2.5001
4.7315,11.032,-2.2717,8.7249,2.5001
4.7302,11.0305,-2.2896,8.3288,2.5001
4.7288,11.0289,-2.3071,7.9492,2.5001
4.7273,11.0273,-2.3239,7.5859,2.5001
4.7258,11.0258,-2.3403,1.838,2.5001
4.7242,11.0242,-2.3562,8.808,2.5
4.7227,11.0226,-2.325,14.0957,2.5
4.7212,11.0209,-2.2938,14.0136,2.5
4.7198,11.0192,-2.2627,13.8921,2.5
4.7185,11.0175,-2.2318,13.7328,2.5
4.7171,11.0157,-2.2012,13.5378,2.5
4.7159,11.0138,-2.1708,13.3099,2.5
4.7146,11.0119,-2.1408,13.052,2.5
4.7135,11.01,-2.1112,12.7673,2.5
4.7124,11.008,-2.082,12.4592,2.5
4.7113,11.0059,-2.0533,12.1311,2.5
4.7103,11.0038,-2.0251,11.7866,2.5
4.7093,11.0017,-1.9974,11.4289,2.5
4.7083,10.9995,-1.9703,11.0614,2.5
4.7075,10.9972,-1.9438,10.6871,2.5
4.7066,10.9949,-1.9179,10.309,2.5
4.7059,10.9926,-1.8925,9.9296,2.5
4.7051,10.9902,-1.8679,9.5514,2.5
4.7044,10.9877,-1.8438,9.1763,2.5
4.7038,10.9853,-1.8204,8.8064,2.5
4.7032,10.9827,-1.7976,8.4431,2.5
4.7027,10.9801,-1.7754,8.0877,2.5
4.7022,10.9775,-1.7539,7.7414,2.5
4.7018,10.9748,-1.733,7.405,2.5
4.7014,10.9721,-1.7127,7.0792,2.5
4.701,10.9693,-1.693,6.7645,2.5
4.7007,10.9665,-1.6739,6.4611,2.5
4.7005,10.9636,-1.6553,6.1694,2.5
4.7003,10.9606,-1.6374,5.8893,2.5
4.7001,10.9577,-1.6199,5.6209,2.5
4.7,10.9546,-1.603,5.3641,2.5
4.7,10.9516,-1.5867,2.5593,2.5
